date,kwhh
2013-02-18,63053.0271808
2013-02-19,62275.9896562
2013-02-20,64104.6784804
2013-02-21,68642.4582647
2013-02-22,70207.8827138
2013-02-23,72307.5674337
2013-02-24,76489.9484118
2013-02-25,71302.4422564
2013-02-26,68637.8211817
2013-02-27,65828.7671551
2013-02-28,65252.6324583
2013-03-01,65543.8345259
2013-03-02,66947.8396857
2013-03-03,69283.3344497
2013-03-04,62415.385364
2013-03-05,59026.7128929
2013-03-06,58030.649523
2013-03-07,59173.3758427
2013-03-08,59328.9634653
2013-03-09,62758.5786324
2013-03-10,69642.1071272
2013-03-11,71182.8845283
2013-03-12,69775.1117576
2013-03-13,65762.7843169
2013-03-14,63927.707933
2013-03-15,62880.4111156
2013-03-16,66099.5045207
2013-03-17,68196.737716
2013-03-18,64057.6408589
2013-03-19,61743.7126138
2013-03-20,63214.6199391
2013-03-21,62367.2834229
2013-03-22,65425.7555688
2013-03-23,72746.3600503
2013-03-24,76861.6572917
2013-03-25,71061.8037512
2013-03-26,69956.0860694
2013-03-27,67641.0875367
2013-03-28,65159.5093304
2013-03-29,66136.1309201
2013-03-30,63794.1985728
2013-03-31,64556.0190682
2013-04-01,64764.9957738
2013-04-02,60916.6239613
2013-04-03,64456.9592418
2013-04-04,65951.6595918
2013-04-05,63373.4507971
2013-04-06,59935.8534045
2013-04-07,60254.7943106
2013-04-08,57193.8778726
2013-04-09,58840.2938925
2013-04-10,56071.8424343
2013-04-11,56969.8551817
2013-04-12,55958.5218913
2013-04-13,56807.5436474
2013-04-14,54168.6758404
2013-04-15,50261.0044653
2013-04-16,49758.2652602
2013-04-17,49485.4539702
2013-04-18,49849.6973389
2013-04-19,50864.0323712
2013-04-20,51080.4942034
2013-04-21,53862.0925624
2013-04-22,50681.052277
2013-04-23,46653.77709
2013-04-24,45813.8487008
2013-04-25,44623.7766397
2013-04-26,47263.0400903
2013-04-27,51258.5834961
2013-04-28,53862.8630722
2013-04-29,48768.2112302
2013-04-30,47582.5591994
2013-05-01,47309.0456055
2013-05-02,46013.066841
2013-05-03,45108.1865789
2013-05-04,47651.5554496
2013-05-05,47278.4257321
2013-05-06,46434.9255572
2013-05-07,44633.4907481
2013-05-08,45673.5393564
2013-05-09,46730.8414055
2013-05-10,46183.2379807
2013-05-11,49813.4076093
2013-05-12,52661.021059
2013-05-13,47302.5412141
2013-05-14,49880.2083763
2013-05-15,49696.8942652
2013-05-16,47418.2255144
2013-05-17,49470.9558646
2013-05-18,49077.0795603
2013-05-19,49511.2392271
2013-05-20,48351.1957
2013-05-21,46994.7072518
2013-05-22,47299.4870409
2013-05-23,47683.31181
2013-05-24,51219.0395401
2013-05-25,47784.3905274
2013-05-26,45997.9826513
2013-05-27,45846.576353
2013-05-28,48188.7600022
2013-05-29,48823.9337146
2013-05-30,48466.1712717
2013-05-31,45172.680234
2013-06-01,45397.0307783
2013-06-02,46771.5870552
2013-06-03,43445.2197506
2013-06-04,42933.6128901
2013-06-05,42889.6531551
2013-06-06,42638.7359528
2013-06-07,43110.5380769
2013-06-08,44226.071062
2013-06-09,48900.1659332
2013-06-10,45814.0230751
2013-06-11,45195.4725728
2013-06-12,46263.92268
2013-06-13,45641.2114487
2013-06-14,43819.0935718
2013-06-15,46185.2602319
2013-06-16,47121.3846529
2013-06-17,43902.502979
2013-06-18,43804.6333882
2013-06-19,42883.310094
2013-06-20,43769.7700439
2013-06-21,43134.5129817
2013-06-22,44909.7140135
2013-06-23,48059.8718929
2013-06-24,44903.1101863
2013-06-25,42825.0561542
2013-06-26,42881.583747
2013-06-27,43255.82019
2013-06-28,44240.8698207
2013-06-29,43248.4069707
2013-06-30,45147.1269492
2013-07-01,43296.2443588
2013-07-02,44011.5084067
2013-07-03,43704.1829925
2013-07-04,42716.3380733
2013-07-05,42417.8286372
2013-07-06,42522.7570838
2013-07-07,44335.0751729
2013-07-08,42360.6381983
2013-07-09,41787.0243223
2013-07-10,41692.4090189
2013-07-11,41310.2297683
2013-07-12,41510.4337816
2013-07-13,42184.634247
2013-07-14,44223.8584521
2013-07-15,42817.2876564
2013-07-16,42604.4035777
2013-07-17,42858.9589639
2013-07-18,42464.6529977
2013-07-19,41817.8074687
2013-07-20,42544.0100476
2013-07-21,43476.1626831
2013-07-22,43396.9190158
2013-07-23,43609.2618883
2013-07-24,41762.4797166
2013-07-25,42269.867401
2013-07-26,41272.6163759
2013-07-27,42765.640667
2013-07-28,43384.0842812
2013-07-29,41870.498776
2013-07-30,42351.0326679
2013-07-31,42139.0569365
2013-08-01,41868.8697449
2013-08-02,42222.8818303
2013-08-03,40935.2129928
2013-08-04,42674.8485462
2013-08-05,42316.6734172
2013-08-06,40768.5499971
2013-08-07,40310.1560577
2013-08-08,40482.3238479
2013-08-09,40622.973793
2013-08-10,40681.1704391
2013-08-11,42357.615358
2013-08-12,41075.6941849
2013-08-13,40824.0856193
2013-08-14,40704.0488555
2013-08-15,41179.7599319
2013-08-16,41462.1139165
2013-08-17,42201.6133895
2013-08-18,43163.6970471
2013-08-19,41085.0403698
2013-08-20,40333.4866987
2013-08-21,40445.9029523
2013-08-22,42334.7482513
2013-08-23,41079.6671247
2013-08-24,43389.0982123
2013-08-25,42626.0340756
2013-08-26,42010.8509651
2013-08-27,41429.718405
2013-08-28,41020.2457479
2013-08-29,40691.3830799
2013-08-30,41254.7221868
2013-08-31,41602.5708271
2013-09-01,44193.8684186
2013-09-02,42140.8528716
2013-09-03,42119.3963573
2013-09-04,42150.365465
2013-09-05,42356.7653404
2013-09-06,43524.0466539
2013-09-07,43597.7490412
2013-09-08,46375.7692499
2013-09-09,46098.1727307
2013-09-10,45710.3174184
2013-09-11,46326.0053228
2013-09-12,44858.8441397
2013-09-13,46239.5880715
2013-09-14,48662.1132468
2013-09-15,51764.0389922
2013-09-16,46848.9604322
2013-09-17,48356.3891272
2013-09-18,46463.7356982
2013-09-19,47636.1578687
2013-09-20,45972.8523728
2013-09-21,47219.2816223
2013-09-22,49646.8278397
2013-09-23,46023.7803174
2013-09-24,44462.8853717
2013-09-25,44673.7826808
2013-09-26,44338.3363239
2013-09-27,44472.9960248
2013-09-28,46951.9563585
2013-09-29,49271.8091725
2013-09-30,46156.7272213
2013-10-01,46467.6998247
2013-10-02,46532.087019
2013-10-03,46260.5000729
2013-10-04,45333.3184076
2013-10-05,47665.2525102
2013-10-06,48815.683512
2013-10-07,46587.5654489
2013-10-08,45642.462894
2013-10-09,46528.1429937
2013-10-10,48399.3669022
2013-10-11,51432.2649026
2013-10-12,49981.3000264
2013-10-13,57096.8421679
2013-10-14,52210.6153074
2013-10-15,50149.8601533
2013-10-16,51850.2397579
2013-10-17,49202.019795
2013-10-18,48645.0371831
2013-10-19,50000.5287636
2013-10-20,52810.9943756
2013-10-21,49210.2507333
2013-10-22,48383.39247
2013-10-23,47668.0816855
2013-10-24,47803.6016983
2013-10-25,47690.4798696
2013-10-26,49944.5716056
2013-10-27,52809.4082446
2013-10-28,51343.9639175
2013-10-29,51495.4483925
2013-10-30,51565.538012
2013-10-31,51755.8476523
2013-11-01,50984.8674788
2013-11-02,51814.2467435
2013-11-03,57352.4554796
2013-11-04,53570.7545415
2013-11-05,55565.3958581
2013-11-06,54372.9953533
2013-11-07,52478.9310614
2013-11-08,54583.0730493
2013-11-09,58648.9978719
2013-11-10,59941.6367208
2013-11-11,57109.0324513
2013-11-12,53938.0292134
2013-11-13,55332.7298538
2013-11-14,55190.8948429
2013-11-15,55935.8087007
2013-11-16,58534.8356481
2013-11-17,61546.7840566
2013-11-18,57231.4172535
