mac,kwhh
MAC001012,1412.865
MAC001013,1834.241
MAC001014,25017.4680004
MAC001015,2376.1319998
MAC001016,6151.1509999
MAC001017,2576.694
MAC001018,2560.421
MAC001019,2538.8370002
MAC001020,8054.9689995
MAC001021,2285.4020001
MAC001022,3195.687
MAC001023,5011.104
MAC001024,1972.352
MAC001025,2385.5759999
MAC001026,6997.7189994
MAC001027,5087.6150002
MAC001028,6876.7830005
MAC001029,7386.1029999
MAC001030,1440.4839999
MAC001031,9410.089
MAC001032,15040.3139995
MAC001033,7959.7390013
MAC001034,5202.9910002
MAC001035,3973.5219999
MAC001036,25368.9179989
MAC001037,4997.521
MAC001038,3446.9400001
MAC001039,5804.1909995
MAC001040,9255.0990003
MAC001041,4038.0590003
MAC001042,4247.8620002
MAC001043,619.292
MAC001044,15016.9199982
MAC001045,1878.7600001
MAC001046,6756.8320048
MAC001047,6863.243
MAC001048,7928.9490005
MAC001049,2889.768
MAC001050,7147.4219988
MAC001051,1325.2970001
MAC001052,7795.8659999
MAC001053,3731.0709997
MAC001054,9049.3579989
MAC001055,5208.4319996
MAC001056,4600.7749992
MAC001057,2764.108
MAC001058,3885.1519996
MAC001059,5607.8189994
MAC001060,11018.0559993
MAC001061,3372.917
MAC001062,5963.0110004
MAC001063,4777.8169999
MAC001064,4438.0570007
MAC001065,1772.2820004
MAC001066,10641.943
MAC001067,2996.5629999
MAC001068,3546.022
MAC001069,3454.8979998
MAC001070,7741.3209975
MAC001071,5131.9799998
MAC001072,3803.394
MAC001073,6140.0919999
MAC001074,5225.802997
MAC001075,2612.9809998
MAC001076,8857.6200001
MAC001077,6316.4610004
MAC001078,8157.5429999
MAC001079,874.079
MAC001080,2135.5850003
MAC001081,9522.9069993
MAC001082,512.15
MAC001083,4288.2649998
MAC001084,2643.283
MAC001085,7804.2519994
MAC001086,4941.8349998
MAC001087,5973.7419995
MAC001088,2193.544
MAC001089,2071.102
MAC001090,7828.8329995
MAC001091,4276.2179999
MAC001092,1102.7069998
MAC001093,7814.1659996
MAC001094,3705.205
MAC001095,11364.5919996
MAC001096,2895.3729999
MAC001097,3989.6199997
MAC001098,10640.7289994
MAC001099,11980.137998
MAC001100,3753.128001
MAC001101,1584.8079997
MAC001102,5378.3020008
MAC001103,3375.595
MAC001104,10939.394001
MAC001105,3889.4559998
MAC001106,2375.3289997
MAC001107,10228.6639995
MAC001108,4359.5219997
MAC001109,6918.845
MAC001110,9379.7520009
MAC001111,5126.1319998
